"Kreditkarte:";"FTL Credit Card / *7734";

"Zeitraum:";"01.01.2019 - 04.04.2020";
"Saldo:";"-24,64";
"Datum:";"03.04.2020";

"Belegdatum";"Wertstellung";"Beschreibung";"Betrag (EUR)";"Ursprünglicher Betrag";"Umrechnungskurs";"Umsatz abgerechnet";
"04.10.2019";"07.10.2019";"DIGITALOCEAN.COM";"-6,52";"-7,14 USD";"1,095852";"Ja";
"03.10.2019";"04.10.2019";"ITUNES.COM/BILL";"-2,99";"";"";"Ja";
"02.10.2019";"04.10.2019";"DRIVENOW 9424077771";"-35,50";"";"";"Ja";
"01.10.2019";"02.10.2019";"DRIVENOW 9423580547";"-8,56";"";"";"Ja";
"01.10.2019";"02.10.2019";"NETFLIX.COM";"-15,99";"";"";"Ja";
"29.09.2019";"30.09.2019";"WWW.VOISCOOTERS.COM";"-2,20";"";"";"Ja";
"29.09.2019";"30.09.2019";"WWW.VOISCOOTERS.COM";"-1,60";"";"";"Ja";
"27.09.2019";"30.09.2019";"LIM*RESTORE BALANCE";"-2,50";"";"";"Ja";
"26.09.2019";"27.09.2019";"WWW.VOISCOOTERS.COM";"-1,90";"";"";"Ja";
"25.09.2019";"26.09.2019";"AMZN Mktp DE*MA4KG3WJ4";"-8,85";"";"";"Ja";
"25.09.2019";"26.09.2019";"AMZN Mktp DE*MA3KO1WJ4";"-60,84";"";"";"Ja";
"18.09.2019";"19.09.2019";"Lastschrift";"1.739,82";"";"";"Ja";
"18.09.2019";"18.09.2019";"monatlicher Kartenpreis";"-5,41";"";"";"Ja";
"16.09.2019";"17.09.2019";"CLASSPASS MONTHLY";"-29,00";"";"";"Ja";
"15.09.2019";"16.09.2019";"SIXT CAR 9421085919/00";"-157,73";"";"";"Ja";
"14.09.2019";"16.09.2019";"SWM/MVG ONLINESERVICES";"-6,70";"";"";"Ja";
"13.09.2019";"16.09.2019";"RTL interactive GmbH";"-4,99";"";"";"Ja";
"13.09.2019";"16.09.2019";"CIRC TEMP HOLD";"-2,80";"";"";"Ja";
"13.09.2019";"16.09.2019";"LIM*RIDE COST";"-2,75";"";"";"Ja";
"13.09.2019";"16.09.2019";"CITY HOTEL";"-3,80";"";"";"Ja";
"13.09.2019";"16.09.2019";"Press + Books 361";"-4,48";"";"";"Ja";
"13.09.2019";"16.09.2019";"DB BAHN  A-NR D3P4QX";"-47,25";"";"";"Ja";
"12.09.2019";"13.09.2019";"CITY HOTEL";"-89,00";"";"";"Ja";
"12.09.2019";"13.09.2019";"BRAUHAUS BARFÜßER REUT";"-26,00";"";"";"Ja";
"11.09.2019";"12.09.2019";"DB BAHN  A-NR 1ZCXTW";"-39,90";"";"";"Ja";
"09.09.2019";"10.09.2019";"AMZN Mktp DE*MA25I55Z4";"-28,69";"";"";"Ja";
"09.09.2019";"10.09.2019";"Helpling Vermittlungsp";"-58,75";"";"";"Ja";
"09.09.2019";"10.09.2019";"AMZN MKTP DE*MA75G1514";"-20,99";"";"";"Ja";
"06.09.2019";"09.09.2019";"IZ *MucCab KDS GmbH";"-72,00";"";"";"Ja";
"06.09.2019";"09.09.2019";"Starbucks  1208128";"-5,19";"";"";"Ja";
"06.09.2019";"09.09.2019";"FUNK TAXI DRESDEN";"-22,00";"";"";"Ja";
"06.09.2019";"09.09.2019";"MUC 770 TRAVEL VALUE";"-48,70";"";"";"Ja";
"05.09.2019";"06.09.2019";"Hoeflinger Mueller Gmb";"-1,60";"";"";"Ja";
